PERIODO;PM10
2023-10-29 01;100.72
2023-10-29 02;40.41
2023-10-29 03;80.98
2023-10-29 04;165.13
2023-10-29 05;205.38
2023-10-29 06;128.48
2023-10-29 07;109.05
2023-10-29 08;37.08
2023-10-29 09;26.85
2023-10-29 10;43.27
2023-10-29 11;62.53
2023-10-29 12;46.36
2023-10-29 13;62.35
2023-10-29 14;89.92
2023-10-29 15;79.35
2023-10-29 16;95.03
2023-10-29 17;98.7
2023-10-29 18;58.27
2023-10-29 19;93.51
2023-10-29 20;106.47
2023-10-29 21;28.92
2023-10-29 22;64.74
2023-10-29 23;93.47
2023-10-30 00;113.6
2023-10-30 01;40.76
2023-10-30 02;66.02
2023-10-30 03;141.15
2023-10-30 04;156.08
2023-10-30 05;34.39
2023-10-30 06;51.02
2023-10-30 07;110.17
2023-10-30 08;155.42
2023-10-30 09;162.77
2023-10-30 10;124.17
2023-10-30 11;105.14
2023-10-30 12;94.48
2023-10-30 13;85.83
2023-10-30 14;106.65
2023-10-30 15;95.19
2023-10-30 16;99.28
2023-10-30 17;96.94
2023-10-30 18;95.62
2023-10-30 19;35.77
2023-10-30 20;29.01
2023-10-30 21;53.98
2023-10-30 22;69.97
2023-10-30 23;55.93
2023-10-31 00;41.12
2023-10-31 01;59.3
2023-10-31 02;87.69
2023-10-31 03;83.31
2023-10-31 04;57.56
2023-10-31 05;84.72
2023-10-31 06;112.3
2023-10-31 07;108.96
2023-10-31 08;93.9
2023-10-31 09;113.04
2023-10-31 10;108.84
2023-10-31 11;96.79
2023-10-31 12;87.44
2023-10-31 13;69.01
2023-10-31 14;78.92
2023-10-31 15;87.28
2023-10-31 16;76.08
2023-10-31 17;77.34
2023-10-31 18;77.89
2023-10-31 19;69.25
2023-10-31 20;82.97
2023-10-31 21;83.03
2023-10-31 22;90.98
2023-10-31 23;76.69
2023-11-01 00;78.2
2023-11-01 01;74.78
2023-11-01 02;71.13
2023-11-01 03;55.04
2023-11-01 04;77.93
2023-11-01 05;28.08
2023-11-01 06;45.98
2023-11-01 07;48.96
2023-11-01 08;44.66
2023-11-01 09;64.6
2023-11-01 10;84.73
2023-11-01 11;69.13
2023-11-01 12;80.12
2023-11-01 13;81.25
2023-11-01 14;66.03
2023-11-01 15;63.12
2023-11-01 16;58.08
2023-11-01 17;49.2
2023-11-01 18;50.04
2023-11-01 19;50.05
2023-11-01 20;45.88
2023-11-01 21;36.65
2023-11-01 22;51.67
2023-11-01 23;50.08
2023-11-02 00;44.16
2023-11-02 01;38.84
2023-11-02 02;50.46
2023-11-02 03;37.17
2023-11-02 04;32.62
2023-11-02 05;34.7
2023-11-02 06;25.92
2023-11-02 07;41.62
2023-11-02 08;29.11
2023-11-02 09;43.55
2023-11-02 10;71.39
2023-11-02 11;
2023-11-02 12;
2023-11-02 13;133.63
2023-11-02 14;128.16
2023-11-02 15;132.25
2023-11-02 16;135.62
2023-11-02 17;118.37
2023-11-02 18;99.33
2023-11-02 19;97.87
2023-11-02 20;92.03
2023-11-02 21;86.88
2023-11-02 22;73.03
2023-11-02 23;95.84
2023-11-03 00;97.99
2023-11-03 01;82.55
2023-11-03 02;105.62
2023-11-03 03;83.97
2023-11-03 04;92.32
2023-11-03 05;96.71
2023-11-03 06;111.92
2023-11-03 07;150.51
2023-11-03 08;124.46
2023-11-03 09;117.77
2023-11-03 10;122.29
2023-11-03 11;144.87
2023-11-03 12;128.26
2023-11-03 13;119.16
2023-11-03 14;116.65
2023-11-03 15;100.8
2023-11-03 16;108.38
2023-11-03 17;121.42
2023-11-03 18;90.15
2023-11-03 19;89.54
2023-11-03 20;70.12
2023-11-03 21;103.07
2023-11-03 22;89.04
2023-11-03 23;71.48
2023-11-04 00;117.51
2023-11-04 01;132.23
2023-11-04 02;119.93
2023-11-04 03;127.62
2023-11-04 04;74.89
2023-11-04 05;88.46
2023-11-04 06;92.74
2023-11-04 07;136.51
2023-11-04 08;156.17
2023-11-04 09;129.52
2023-11-04 10;97.38
2023-11-04 11;92.24
2023-11-04 12;97.18
2023-11-04 13;83.79
2023-11-04 14;95.03
2023-11-04 15;76.51
2023-11-04 16;75.89
2023-11-04 17;81.43
2023-11-04 18;92.18
2023-11-04 19;91.26
2023-11-04 20;87.78
